,name,city,Check_in_date,Check_out_date,pool,gym,spa,free_parking,bathtub,restuarant,Airport_transfer,Bar,Kitchen,Connecting_rooms_available,Internet_access,Pet_friendly,No of Nights,City Center,price
0,Courtyard by Marriott Mumbai International Airport,Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,20.0,6700
2,"President, Mumbai - IHCL SeleQtions",Mumbai,2021-02-24,2021-02-26,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,2,2.3,9500
3,The Orchid- Ecotel Mumbai Airport,Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,19.0,6799
4,Sofitel Mumbai BKC Hotel,Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,2,16.0,9600
5,The St. Regis Mumbai,Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,2,6.8,12000
6,Renaissance Mumbai Convention Centre Hotel,Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,24.0,6715
7,"ITC Grand Central, a Luxury Collection Hotel, Mumbai",Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,7.4,7500
8,"Taj Mahal Tower, Mumbai",Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,1.2,14500
9,OYO 24337 Akshaya Lodging,Mumbai,2021-02-24,2021-02-26,no,no,no,no,yes,no,no,no,no,no,no,no,2,25.0,11146
10,Grand Hyatt Mumbai Hotel and Serviced Apartments,Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,2,16.0,8925
11,Taj Lands End,Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,13.0,9000
12,Ramee Techome,Mumbai,2021-02-24,2021-02-26,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,2,15.0,6400
13,Four Seasons Hotel Mumbai,Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,2,6.9,9975
14,Taj Santacruz,Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,18.0,9000
